1	528
1	295
3	468
5	680
7	180
8	148
8	962
10	175
12	275
12	413
12	353
12	83
13	886
17	808
17	329
19	709
22	746
22	937
28	937
30	862
30	528
36	940
36	896
40	295
41	571
45	798
48	473
48	937
49	270
53	645
55	191
60	223
60	191
65	760
65	482
66	108
69	483
70	728
78	299
83	413
85	886
85	457
85	964
86	357
90	457
90	963
91	692
91	708
91	483
91	658
95	970
96	788
96	312
96	345
96	752
97	313
97	30
98	305
98	295
99	30
104	30
109	413
109	189
112	886
112	8
112	357
112	83
115	361
116	189
123	886
125	322
125	859
126	989
127	483
128	758
131	483
132	746
135	615
139	413
139	494
139	963
139	720
154	223
162	361
163	886
165	758
170	148
171	30
171	501
171	241
179	607
184	225
184	692
186	468
191	571
193	708
193	241
195	692
195	445
195	187
204	819
204	285
204	445
204	998
204	707
204	248
205	607
218	569
219	156
219	269
219	443
219	483
224	457
224	708
224	252
224	494
224	191
225	253
225	397
226	191
230	937
230	191
232	33
232	257
233	270
236	788
236	290
240	607
242	886
243	680
243	257
244	658
246	191
247	108
247	758
248	483
249	953
249	299
251	989
252	798
252	457
254	711
259	550
259	692
260	571
261	963
264	415
272	197
272	937
272	571
272	788
272	798
275	329
276	886
276	483
277	197
279	571
279	359
279	299
280	252
285	46
285	299
286	789
286	571
290	672
290	571
290	191
291	781
300	689
301	798
302	563
302	28
302	187
302	329
309	927
312	406
313	571
315	55
315	330
318	156
318	110
318	607
327	329
328	416
331	312
332	588
333	822
333	406
333	798
333	911
333	191
333	763
333	367
334	30
336	571
336	708
340	636
342	290
346	482
348	937
350	175
351	197
353	30
353	789
355	414
357	231
364	953
364	329
364	722
364	241
366	789
366	223
367	311
367	191
367	711
371	334
377	615
377	457
377	660
388	798
388	330
388	241
389	843
394	457
403	985
403	197
407	406
407	571
407	312
407	907
407	457
408	197
408	334
408	645
409	886
409	270
409	722
416	551
417	693
419	569
419	705
420	963
420	329
421	438
421	429
421	763
426	859
426	494
426	180
428	268
